key,name,category,legacy_line,price,disposition,geometry_policy,reason,conversion_status
lanterncanopy,Lantern Canopy,scenery,4410,180.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
storybookgate,Storybook Gate,scenery,4411,240.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
butterflygarden,Butterfly Garden,scenery,4412,165.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
musicalfountain,Musical Fountain,scenery,4413,280.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
familytree,Family Memory Tree,scenery,4414,220.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
windribbons,Wind Ribbon Sculpture,scenery,4415,195.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
oaktree,Heritage Oak,scenery,4416,70.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
mapletree,Crimson Maple,scenery,4417,65.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
birchtree,Silver Birch,scenery,4418,58.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
willowtree,Weeping Willow,scenery,4419,82.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
cherrytree,Cherry Blossom Tree,scenery,4420,78.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
magnoliatree,Magnolia Tree,scenery,4421,74.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
lavenderbed,Lavender Bed,scenery,4422,32.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
tulipbed,Tulip Garden,scenery,4423,34.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
daisybed,Daisy Meadow,scenery,4424,28.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
hydrangeabed,Hydrangea Border,scenery,4425,38.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
sunflowerbed,Sunflower Patch,scenery,4426,30.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
rosebed,Rose Garden,scenery,4427,42.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
geocache,Alexandria Geocache,scenery,4428,85.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
wheel,Ferris Wheel,rides,4430,500.0,PRESERVE_BEHAVIOR_SCALE_GATE_ART,scale_gate,Preserve upright cabin/rider ownership behavior; geometry must still pass guest-scale and seat-fit audits.,NOT_STARTED
carousel,Carousel,rides,4431,300.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
customcoaster,Custom Coaster Builder,rides,4432,1800.0,PRESERVE_CUSTOM_SYSTEM,protect,Custom/route engineering is a protected system and reference implementation.,NOT_STARTED
coaster,Steel Coaster,rides,4432,1100.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
hypercoaster,Frontier Hypercoaster,rides,4433,,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
woodencoaster,Timber Colossus,rides,4434,,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
gigacoaster,Apex Giga Coaster,rides,4435,,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
tower,Drop Tower,rides,4436,700.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
pirate,Pirate Ship,rides,4437,450.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
spinner,Spinning Cups,rides,4438,260.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
swing,Chair Swings,rides,4439,420.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
goKart,Go Karts,rides,4440,750.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
log,Log Flume Route Builder,rides,4441,900.0,PRESERVE_CUSTOM_SYSTEM,protect,Custom/route engineering is a protected system and reference implementation.,NOT_STARTED
maze,Hedge Maze,rides,4442,240.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
bumper,Bumper Cars,rides,4443,380.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
juniorcarousel,Junior Carousel,rides,4444,1450.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
scrambler,Scrambler,rides,4445,1900.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
riverboats,River Boats,rides,4446,3200.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
minigolf,Mini Golf,rides,4447,2100.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
orbiter,Neon Orbiter,rides,4447,980.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
viking,Viking Voyager,rides,4447,820.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
rocket,Starshot Rockets,rides,4447,1250.0,PRESERVE_FEATURE_SCALE_GATE_GEOMETRY,scale_gate,"Feature identity is mandatory; geometry is rebuilt if it fails human-scale, seating, boarding or rider-animation fit.",NOT_STARTED
